"id_cliente";"n_polizas_tomador_ahorro";"n_polizas_tomador_autos";"n_polizas_tomador_jubilacion";"n_polizas_tomador_jubilacion_golf";"n_polizas_tomador_no_vida";"n_polizas_tomador_rc";"n_polizas_tomador_rentas";"n_polizas_tomador_riesgo_tomador";"n_polizas_tomador_vida_riesgo";"n_polizas_tomador_vida_riesgo_pm";"n_polizas_tomador_no_vida"
312;0;0;0;0;2;0;0;0;0;0;2
313;1;0;0;0;0;0;0;0;0;0;0
314;2;0;0;0;0;0;0;0;0;0;0
315;1;0;0;0;0;0;0;0;0;0;0
316;0;0;0;0;1;0;0;0;0;0;1
317;0;2;0;0;1;0;0;0;0;0;1
318;0;0;0;0;2;0;0;0;0;0;2
319;0;0;0;0;1;0;0;0;0;0;1
320;1;0;0;0;0;0;0;0;0;1;0
321;1;0;0;0;2;0;0;0;0;0;2
322;8;0;0;0;2;0;0;0;0;1;2
323;2;0;0;0;1;0;0;0;0;0;1
324;1;0;0;0;0;0;0;0;0;0;0
325;6;0;0;0;0;0;0;1;0;0;0
326;0;0;0;0;0;0;0;0;0;0;0
327;0;1;0;0;0;0;0;0;0;0;0
328;1;0;0;0;0;0;0;0;0;0;0
329;0;0;0;0;1;0;0;0;0;0;1
330;0;3;0;0;0;0;0;0;0;0;0
331;0;0;0;0;1;0;0;0;0;0;1
332;0;0;0;0;1;0;0;0;0;0;1
333;4;0;0;0;2;0;0;0;0;0;2
334;1;0;0;0;0;0;0;0;0;1;0
335;0;0;0;0;1;0;0;0;0;0;1
336;0;0;0;0;1;0;0;0;0;0;1
337;2;0;0;0;0;0;0;0;0;0;0
338;0;0;0;0;0;0;0;0;0;0;0
339;1;0;0;0;0;0;0;0;0;0;0
340;0;0;0;0;1;0;0;0;0;0;1
341;4;0;0;0;0;0;0;0;0;0;0
342;3;0;0;0;1;0;0;0;0;0;1
343;0;0;0;0;1;0;0;0;0;0;1
344;3;0;0;0;2;0;0;0;0;1;2
345;0;0;0;0;1;0;0;0;0;0;1
346;2;0;0;0;0;0;0;0;0;0;0
347;5;0;0;0;4;0;0;0;0;0;4
348;0;0;0;0;1;0;0;0;0;0;1
349;0;1;0;0;0;0;0;0;0;0;0
350;1;0;0;0;1;0;0;0;0;0;1
351;3;0;0;0;1;0;0;0;0;0;1
352;0;0;0;0;0;0;0;0;0;0;0
353;2;0;0;0;0;0;0;0;0;0;0
354;0;0;0;0;0;0;0;0;0;0;0
355;6;0;1;0;1;0;1;0;0;1;1
356;1;0;0;0;0;0;0;0;0;0;0
357;1;0;0;0;0;0;0;0;0;0;0
358;0;0;0;0;1;0;0;0;0;0;1
359;0;0;0;0;1;0;0;0;0;0;1
360;0;0;0;0;1;0;0;0;0;0;1
361;1;1;0;0;0;0;0;0;0;1;0
362;0;3;0;0;0;0;0;0;0;0;0
363;2;0;0;0;1;0;0;0;0;0;1
364;1;0;0;0;0;0;0;0;0;0;0
365;0;0;0;0;2;0;0;0;0;0;2
366;0;0;1;1;0;0;0;0;0;0;0
367;0;0;0;0;1;0;0;0;0;0;1
368;1;0;0;0;0;0;0;0;0;0;0
369;0;0;0;0;1;0;0;0;0;0;1
370;9;0;1;0;0;0;2;0;0;0;0
371;0;0;0;0;1;0;0;0;0;0;1
372;0;4;0;0;0;0;0;0;0;0;0
373;0;0;0;0;1;0;0;0;0;0;1
374;3;0;0;0;0;0;0;0;0;0;0
375;0;0;0;0;1;0;0;0;0;0;1
376;4;0;0;0;0;0;0;0;0;0;0
377;5;0;1;1;0;0;0;1;0;0;0
378;2;0;0;0;0;0;0;0;0;0;0
379;0;3;0;0;0;0;0;0;0;0;0
380;1;0;0;0;0;0;0;0;0;0;0
381;0;5;0;0;0;0;0;0;0;0;0
382;1;0;0;0;0;0;0;0;0;0;0
383;0;0;0;0;0;0;0;2;0;0;0
384;0;0;0;0;1;0;0;0;0;0;1
385;2;0;0;0;0;0;0;0;0;0;0
386;0;0;0;0;1;0;0;0;0;0;1
387;0;0;0;0;1;0;0;0;0;0;1
388;2;0;0;0;2;0;0;0;0;1;2
389;2;0;0;0;0;0;0;1;0;0;0
390;2;0;0;0;0;0;0;0;0;0;0
391;0;1;0;0;0;0;0;0;0;0;0
392;1;0;0;0;0;0;0;0;0;0;0
393;1;0;0;0;2;0;0;0;0;2;2
394;0;0;0;0;2;0;0;0;0;0;2
395;0;0;0;0;1;0;0;0;0;0;1
396;2;0;0;0;0;0;0;0;0;0;0
397;0;0;0;0;2;0;0;0;0;0;2
398;0;1;0;0;0;0;0;0;0;0;0
399;2;0;0;0;0;0;0;0;0;0;0
400;2;0;0;0;0;0;0;0;0;0;0
401;3;0;1;3;0;0;0;0;0;1;0
402;2;0;0;0;2;0;0;0;0;0;2
403;0;0;0;0;1;0;0;0;0;0;1
404;0;0;0;0;1;0;0;0;0;0;1
405;0;0;0;0;0;0;0;0;0;0;0
406;3;0;0;0;0;0;1;0;0;1;0
407;3;0;0;0;0;0;0;0;0;0;0
408;0;0;0;0;1;0;0;0;0;0;1
409;2;0;0;0;0;0;0;0;0;0;0
410;3;0;0;0;0;0;0;0;0;0;0
411;2;0;0;0;0;0;0;0;0;0;0
412;6;0;0;0;0;0;0;2;0;0;0
413;1;0;0;1;0;0;0;0;0;0;0
414;0;2;0;0;0;0;0;0;0;0;0
415;0;0;0;0;1;0;0;0;0;0;1
416;2;0;0;1;0;0;0;0;0;0;0
417;2;0;0;0;0;0;0;0;0;0;0
418;5;0;0;0;0;0;0;0;0;0;0
419;1;0;0;0;0;0;0;0;0;0;0
420;0;0;0;0;1;0;0;0;0;0;1
421;0;0;0;0;1;0;0;0;0;0;1
422;0;0;0;0;1;0;0;0;0;0;1
423;2;0;0;0;4;0;0;0;0;0;4
424;1;0;0;0;0;0;0;0;0;0;0
425;0;0;0;0;1;0;0;0;0;0;1
426;1;0;0;0;0;0;0;0;0;0;0
427;2;0;0;0;0;0;0;0;0;0;0
428;1;0;0;0;0;0;0;0;0;0;0
429;0;0;0;0;1;0;0;0;0;0;1
430;1;0;0;0;0;0;0;0;0;0;0
431;3;0;0;0;2;0;1;0;0;0;2
432;1;0;0;0;0;0;0;0;0;0;0
433;0;0;0;0;1;0;0;0;0;0;1
434;0;3;0;0;0;0;0;0;0;0;0
435;1;0;0;0;0;0;0;0;0;0;0
436;0;0;0;0;1;0;0;0;0;0;1
437;4;0;0;0;1;0;0;0;0;0;1
438;0;0;0;0;1;0;0;0;0;0;1
439;4;0;1;2;0;0;1;0;0;1;0
440;2;0;0;0;1;0;0;0;0;0;1
441;1;0;0;0;0;0;0;0;0;0;0
442;0;0;0;0;1;0;0;0;0;0;1
443;0;0;0;0;1;0;0;0;0;0;1
444;2;0;0;0;2;0;0;0;0;0;2
445;2;0;0;0;0;0;0;0;0;0;0
446;1;0;0;0;1;0;0;0;0;0;1
447;2;0;0;0;0;0;0;0;0;0;0
448;0;0;0;0;1;0;0;0;0;0;1
449;2;0;1;0;0;0;0;0;0;0;0
450;0;0;0;0;1;0;0;0;0;0;1
451;10;0;1;0;1;0;0;1;0;0;1
452;1;0;0;0;0;0;0;0;0;0;0
453;2;0;0;0;0;0;0;0;0;0;0
454;0;0;0;0;2;0;0;0;0;0;2
455;0;0;0;0;1;0;0;0;0;0;1
456;2;0;0;0;0;0;0;0;0;0;0
457;2;0;0;0;0;0;0;0;0;0;0
458;1;0;0;0;0;0;0;0;0;0;0
459;1;0;0;0;0;0;0;0;0;0;0
