"id_cliente";"sexo";"estado_civil";"tipo_baja";"familia_captacion"
338;"M";"";"nunca";"Vida_Riesgo"
339;"M";"";"nunca";"Ahorro"
340;"H";"C";"nunca";"No_vida"
341;"M";"C";"parcial";"Ahorro"
342;"M";"C";"nunca";"No_vida"
343;"H";"S";"total";"No_vida"
344;"M";"D";"parcial";"Ahorro"
345;"M";"S";"nunca";"No_vida"
346;"H";"C";"total";"Ahorro"
347;"H";"C";"parcial";"Ahorro"
348;"M";"C";"nunca";"No_vida"
349;"H";"C";"total";"Autos"
350;"M";"S";"total";"Ahorro"
351;"H";"C";"fallecido";"Ahorro"
352;"H";"D";"nunca";"Vida_Riesgo"
353;"H";"";"nunca";"Ahorro"
354;"H";"C";"nunca";"Vida_Riesgo"
355;"H";"V";"parcial";"Ahorro"
356;"M";"S";"nunca";"Ahorro"
357;"H";"C";"nunca";"Ahorro"
358;"H";"C";"total";"No_vida"
359;"M";"S";"nunca";"No_vida"
360;"H";"S";"nunca";"No_vida"
361;"H";"C";"fallecido";"Ahorro"
362;"H";"";"total";"Autos"
363;"H";"";"total";"Ahorro"
364;"M";"C";"nunca";"Ahorro"
365;"H";"C";"total";"No_vida"
366;"M";"";"parcial";"Vida_Riesgo"
367;"H";"S";"parcial";"No_vida"
368;"M";"C";"nunca";"Ahorro"
369;"H";"S";"nunca";"No_vida"
370;"M";"C";"parcial";"Ahorro"
371;"M";"";"total";"Vida_Riesgo"
372;"H";"C";"parcial";"Autos"
373;"M";"C";"total";"No_vida"
374;"H";"";"parcial";"Ahorro"
375;"M";"S";"total";"No_vida"
376;"M";"V";"parcial";"Ahorro"
377;"M";"S";"parcial";"Ahorro"
378;"M";"";"parcial";"Ahorro"
379;"H";"C";"total";"Autos"
380;"H";"";"parcial";"Ahorro"
381;"H";"";"parcial";"Autos"
382;"H";"S";"total";"Ahorro"
383;"M";"V";"total";"Riesgo_Tomador"
384;"H";"C";"nunca";"No_vida"
385;"H";"";"total";"Ahorro"
386;"H";"S";"nunca";"No_vida"
387;"H";"C";"total";"No_vida"
388;"M";"S";"parcial";"No_vida"
389;"M";"C";"parcial";"Riesgo_Tomador"
390;"H";"C";"total";"Ahorro"
391;"H";"C";"total";"Autos"
392;"M";"";"nunca";"Ahorro"
393;"H";"C";"parcial";"Ahorro"
394;"M";"C";"total";"No_vida"
395;"M";"C";"nunca";"No_vida"
396;"M";"";"nunca";"Ahorro"
397;"M";"";"nunca";"No_vida"
398;"M";"S";"total";"Autos"
399;"H";"S";"parcial";"Ahorro"
400;"M";"";"nunca";"Ahorro"
401;"H";"C";"parcial";"Ahorro"
402;"H";"C";"parcial";"Ahorro"
403;"M";"C";"total";"No_vida"
404;"H";"C";"total";"No_vida"
405;"M";"C";"total";"Vida_Riesgo"
406;"H";"C";"parcial";"Ahorro"
407;"H";"C";"parcial";"Ahorro"
408;"M";"S";"total";"Vida_Riesgo"
409;"H";"C";"total";"Ahorro"
410;"M";"C";"total";"Ahorro"
411;"H";"";"total";"Ahorro"
412;"H";"C";"parcial";"Ahorro"
413;"M";"C";"parcial";"Vida_Riesgo"
414;"M";"";"total";"Autos"
415;"H";"";"nunca";"No_vida"
416;"H";"";"parcial";"Ahorro"
417;"H";"";"total";"Ahorro"
418;"H";"C";"parcial";"Ahorro"
419;"H";"";"total";"Ahorro"
420;"M";"";"total";"No_vida"
421;"M";"D";"total";"No_vida"
422;"M";"C";"total";"No_vida"
423;"H";"C";"parcial";"Ahorro"
424;"M";"";"nunca";"Ahorro"
425;"M";"";"nunca";"No_vida"
426;"M";"C";"nunca";"Ahorro"
427;"M";"";"total";"Ahorro"
428;"M";"";"nunca";"Ahorro"
429;"M";"C";"total";"No_vida"
430;"M";"";"nunca";"Ahorro"
431;"H";"D";"parcial";"No_vida"
432;"M";"C";"nunca";"Ahorro"
433;"M";"S";"nunca";"No_vida"
434;"H";"";"parcial";"Autos"
435;"H";"C";"parcial";"Ahorro"
436;"M";"C";"nunca";"No_vida"
437;"M";"C";"total";"Ahorro"
438;"H";"C";"total";"No_vida"
439;"M";"C";"fallecido";"Ahorro"
440;"H";"";"total";"Ahorro"
441;"M";"C";"nunca";"Ahorro"
442;"M";"C";"nunca";"No_vida"
443;"M";"C";"nunca";"No_vida"
444;"H";"";"fallecido";"Ahorro"
445;"H";"";"total";"Ahorro"
446;"H";"C";"total";"Ahorro"
447;"H";"";"parcial";"Ahorro"
